artist,track_or_project_title,release_type,confidence_score,extraction_method,source_article_title,source_article_url,source_name,article_date,embedded_music_links,release_article
Alex Hayes,Dreams ft JXN (Radio Edit),track,0.95,submithub_chart,Alex Hayes - Dreams ft JXN (Radio Edit),https://www.submithub.com/song/alex-hayes-x-jxn-dreams-ft-jxn-radio-edit,SubmitHub,2026-04-30,https://open.spotify.com/track/6ovT2DcdlkHxSwI7d7Kmh5,True
Yari M,Adicta,track,0.95,submithub_chart,Yari M - Adicta,https://www.submithub.com/song/yari-m-adicta,SubmitHub,2026-04-29,https://open.spotify.com/track/3rNtWU18TEbnD85QtejTED,True
Paccu,Broken Pieces,track,0.95,submithub_chart,Paccu - Broken Pieces,https://www.submithub.com/song/paccu-broken-pieces,SubmitHub,2026-04-30,https://open.spotify.com/track/3kEsyzrycRGifXxZHAMtDv,True
Jarrod Cooney,Solitude,track,0.95,submithub_chart,Jarrod Cooney - Solitude,https://www.submithub.com/song/jarrod-cooney-x-julia-loveless-solitude,SubmitHub,2026-04-30,https://soundcloud.com/user-627426710-821727338/solitude/s-8dxQG0Q2wuX,True
Arctec,I Will Miss You,track,0.95,submithub_chart,Arctec - I Will Miss You,https://www.submithub.com/song/arctec-i-will-miss-you,SubmitHub,2026-05-01,https://s3.amazonaws.com/submithub/files/oJzcQ4FgFKjTEanYq/i-will-miss-you-gahara-final-7g9w1dc.mp3,True
Dumomi The Jig,Tonight,track,0.95,submithub_chart,Dumomi The Jig - Tonight,https://www.submithub.com/song/dumomi-the-jig-tonight,SubmitHub,2026-04-30,https://s3.amazonaws.com/submithub/files/A4bEgvzCPWv8E24Rx/tonight-1775074798896.wav,True
LO,Talk,track,0.95,submithub_chart,LO - Talk,https://www.submithub.com/song/lo-x-mallou-talk,SubmitHub,2026-04-30,https://s3.amazonaws.com/submithub/files/AAsAkbfNGiNxGXcX7/cherry-blossom-20-talk-1774346719099.wav,True
Phatwell,Run For Something Better,track,0.95,submithub_chart,Phatwell - Run For Something Better,https://www.submithub.com/song/phatwell-run-for-something-better,SubmitHub,2026-04-28,https://soundcloud.com/user-964856040/run-for-something-better?utm_medium=api&utm_campaign=social_sharing&utm_source=id_193463,True
Black Box,Touch It,track,0.95,submithub_chart,Black Box - Touch It,https://www.submithub.com/song/black-box-touch-it,SubmitHub,2026-04-30,https://open.spotify.com/intl-de/track/0ugdLlxP9Jwd5BPDzrfoB7,True
Brisa (ES),Bailo Sola,track,0.95,submithub_chart,Brisa (ES) - Bailo Sola,https://www.submithub.com/song/brisa-es-bailo-sola,SubmitHub,2026-04-30,https://open.spotify.com/intl-es/track/2oa3vCopqP7FVkZYrCKcMV,True
